Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
163697.56,167723.52,163576.94,171132.88,165923.78,168136.94,175272.56,168229.1,175691.14,172760.88,174550.84,176155.25,177984.81,180199.53,180489.66,182386.17,187650.55,193505.1,205795.23,203591.28
163429.94,168883.73,164483.97,168735.34,167720.75,167454.92,170973.28,169351.6,173042.42,174776.34,176397.5,173109.8,176819.6,177554.53,180739.73,181542.84,183936.62,195255.72,202849.5,201594.36
169843.75,160924.97,161786.44,169609.19,164614.9,170744.47,169130.4,167521.44,171859.28,175130.62,172295.03,176493.06,181703.8,179336.97,177607.12,181885.1,186214.86,192781.3,201763.69,201943.08
163618.56,166795.61,167918.14,165969.28,168557.75,171930.28,169798.97,173958.48,172561.78,174567.22,170537.89,176373.34,178785.16,177629.53,181673.69,181505.5,182367.0,199454.16,202206.7,204616.22
165283.22,162656.72,165268.0,168816.28,168878.12,173267.72,172025.22,174460.03,171580.12,169085.9,179084.12,175735.03,176431.31,181342.03,182382.16,182469.6,183074.97,192505.84,200400.22,201723.86
162473.31,169290.6,171521.03,165715.31,168321.55,163111.95,170787.94,171701.31,172237.28,171282.69,174218.97,174851.3,179131.17,178933.53,181614.44,180583.53,182652.03,198063.31,200329.47,200791.3
159078.22,166465.66,166606.5,166228.89,167978.11,170303.88,174827.31,171535.45,171881.61,176461.73,171982.33,177954.88,177306.31,179878.97,180086.27,179805.23,189212.66,193250.62,198948.47,203671.81
163571.84,163453.03,161908.03,162828.72,169764.88,170380.95,171384.88,170616.36,168765.12,169208.12,176119.52,176755.9,175997.02,177337.81,178511.78,186845.72,184413.4,193689.72,199212.06,204159.1
163619.11,163895.89,164857.1,163397.81,168659.3,166212.31,170293.97,171209.66,174111.95,172216.97,173229.81,174097.56,176704.72,177203.19,182768.69,182180.12,186458.53,191478.3,199449.16,203376.06
165032.58,164245.98,168470.84,167253.9,160504.23,167970.33,173720.39,172050.25,172585.34,170754.53,174175.75,175966.03,175219.22,181994.02,178183.2,182912.73,184091.22,197853.95,203718.62,201463.0
164300.66,163710.62,170520.81,165062.92,167634.94,167063.97,172589.84,170438.0,170653.89,171723.03,171680.6,175084.0,177991.03,178629.12,177605.4,184440.67,187462.03,194828.9,200603.75,202358.62
161067.9,165251.28,166853.4,169116.9,167364.89,171820.19,165074.05,172553.72,173436.31,171622.97,169912.84,173053.45,180002.78,178240.16,180145.88,184021.86,185540.47,194348.36,199920.78,204554.98
166030.06,162692.27,166538.34,162049.72,167053.5,168301.5,171625.62,172306.97,171563.31,176997.12,172567.28,176348.12,175972.6,179272.5,181408.16,181020.92,187570.31,197119.34,201591.45,206679.78
160975.97,164701.88,165446.38,162038.81,166515.88,168398.81,171107.47,171788.47,168351.5,173217.36,172544.48,179118.75,177315.61,178028.73,179966.0,179758.66,185764.72,193760.75,200544.47,201509.83
166136.77,162806.6,163410.6,167113.39,167903.16,169302.16,165920.78,171678.0,178347.16,174032.75,174877.1,172616.84,176066.47,176266.25,178773.83,180020.19,187163.84,196044.83,200973.4,204491.48
165454.77,165236.83,168395.5,164369.62,165721.06,164556.66,171782.03,172624.9,174079.72,169806.97,175522.69,176857.06,174238.6,181255.88,178462.84,182736.62,180310.53,197978.6,199229.9,205378.44
165235.6,166673.53,166265.98,168358.84,171271.62,165321.58,167414.86,173002.16,168521.62,169053.47,172981.97,177799.4,177173.11,180018.31,179108.67,180656.31,184352.3,195772.33,204406.81,203732.31
163859.34,167702.55,166674.28,168325.34,170813.31,168230.38,168349.78,167915.5,171861.8,170859.81,177122.62,179564.12,176755.22,174550.69,180338.44,178948.6,186627.16,194899.98,199305.94,204126.75
165050.12,160794.42,166722.62,166218.38,171030.22,170428.12,165778.47,170341.44,172572.69,170499.03,173968.08,172116.66,177396.52,181831.98,181849.75,185562.56,184099.69,192680.69,199409.28,205038.53
