Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
162020.47,159829.33,158541.39,161602.44,163860.28,165090.02,164928.52,169298.66,170508.86,163292.9,168627.31,167228.92,174016.55,171346.94,175258.12,178823.69,178659.53,193989.12,199364.6,203814.06
160901.58,160240.1,161912.28,163527.47,161586.38,164170.92,166135.75,164122.16,167325.88,167758.75,168671.1,170604.94,172064.64,174833.4,177691.92,177185.42,180656.78,192198.16,201230.52,202008.36
158654.05,161108.75,159964.83,163323.27,160201.88,164882.0,164535.0,165397.19,168166.94,163321.83,169070.48,170109.81,170351.56,172817.73,175695.53,176536.62,180204.14,193070.6,200814.45,203871.33
157145.66,159113.81,160213.4,157986.72,162944.16,164768.88,165447.4,165328.73,163179.03,169287.84,166889.42,168745.19,171882.88,174673.06,175859.9,177762.97,181920.06,192699.0,197800.89,202494.19
157570.97,159073.1,164941.0,162208.38,163129.25,162281.19,163619.75,164533.94,168118.69,169970.75,166177.44,170459.34,171431.36,168212.52,177551.84,175317.03,181072.17,190346.06,199525.1,204273.33
157710.0,159154.25,158805.12,160264.48,160716.38,167550.84,167958.81,169127.66,163189.34,167629.34,171209.77,175688.08,174691.53,171010.16,176238.77,176487.53,179727.06,190879.72,200390.9,201734.8
156537.02,158925.28,157733.67,162606.16,162778.33,160924.48,164308.4,164813.28,162790.5,166276.56,167280.64,171250.6,171931.78,171311.86,175026.31,180425.03,179085.89,190506.52,199445.75,200299.33
158280.4,158006.34,158940.42,160228.28,163952.66,167213.22,165105.03,161423.62,165747.6,167192.44,167611.38,169483.25,171652.12,174532.25,175853.88,176444.84,180278.97,194727.72,197524.02,203898.95
163838.72,160817.8,157456.16,160676.84,161199.12,165512.78,163706.88,169121.7,168903.98,167083.6,166041.36,167955.5,175300.14,171692.69,174998.94,179347.69,183673.5,189421.34,196911.1,203345.36
158101.19,159747.86,160159.33,160964.31,163226.0,163623.47,168030.53,163472.72,167609.34,167679.53,170404.31,169571.4,174498.78,174872.88,176440.38,176404.69,178861.97,189324.3,197956.78,202826.62
159039.75,160248.4,163846.11,160260.06,163690.72,163889.94,163186.92,166209.84,167085.11,167893.94,170080.4,173447.27,169824.84,176386.28,176865.08,177363.1,178489.97,190173.03,197095.38,205201.4
157498.1,158993.31,161237.94,159617.4,164035.44,163788.94,163863.94,166725.33,165688.75,165881.48,167139.48,171673.47,171759.23,172126.4,172530.94,176314.12,177507.05,193219.6,197861.22,205677.52
157716.95,162849.12,162496.78,160341.97,159523.1,163823.75,164921.73,164493.75,168314.0,166155.53,168419.5,169172.44,172888.88,175451.36,176087.03,178566.48,179273.95,195461.28,201375.81,203623.12
159101.36,159254.47,164987.53,159525.25,162558.5,161889.9,163453.25,166147.62,169277.44,169692.78,166305.75,169667.83,172771.5,168721.47,176167.75,177357.9,182456.81,194565.38,200815.23,207663.25
155689.14,157882.88,163333.56,159731.53,162664.72,163818.53,169295.5,166883.83,171847.25,164882.89,165685.75,172726.38,173081.06,172718.89,177266.06,179186.62,179007.06,191037.84,200208.97,203621.25
157802.53,160315.64,160307.22,161200.78,160304.11,163923.25,164925.28,165090.5,166647.72,166609.61,169196.19,169933.34,172442.88,172105.94,177129.47,176889.06,179861.3,193179.86,200586.66,198069.19
156710.75,158283.1,159399.84,164600.72,163534.56,166657.22,164294.19,166097.81,166590.9,168929.67,166770.12,168988.16,169873.16,170442.5,173667.69,176628.4,180299.4,191622.94,197707.4,199985.28
161062.23,159196.97,161315.28,158377.31,159340.95,162477.84,166705.92,166059.86,165079.31,170340.28,171181.94,166885.97,174133.44,174183.4,173689.84,178699.97,181327.44,193661.17,198399.16,201595.16
158094.0,163913.83,159378.2,160542.75,160944.97,162383.1,162501.97,166332.72,164773.25,169071.12,168393.03,167511.1,170958.81,173195.03,178673.72,177396.94,182121.5,194707.53,204752.22,203591.28
160430.69,164121.03,157803.12,165213.42,165404.39,160772.56,162287.69,166930.0,165042.66,168326.88,165981.62,170144.5,170603.6,177632.1,173957.16,177314.22,182667.84,192556.34,197539.81,201594.36
165756.5,159411.2,159747.69,162263.5,166344.0,163757.34,163435.97,168251.53,171277.25,162729.5,166646.1,171084.8,170106.11,173028.22,176516.27,177097.06,180985.38,192491.22,199522.72,201943.08
160442.97,160158.56,161384.16,161201.84,163806.22,161542.12,163010.77,169752.83,166870.0,169270.89,165464.53,170994.55,171676.1,174086.0,178462.17,174903.22,183081.28,192045.97,197445.56,204616.22
155917.5,158970.12,158140.47,161191.88,166664.12,160975.88,163200.98,166858.5,171670.78,168321.53,166713.64,172012.61,171472.5,174247.9,177096.6,176812.39,180616.33,189926.1,197821.88,201723.86
