Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21,Stage 22,Stage 23,Stage 24,Stage 25,Stage 26,Stage 27,Stage 28,Stage 29,Stage 30,Stage 31,Stage 32,Stage 33,Stage 34,Stage 35,Stage 36,Stage 37,Stage 38,Stage 39,Stage 40,Stage 41
201684.52,197033.16,206366.05,214438.17,216305.31,215130.36,216917.97,214289.05,211196.0,210797.89,207174.77,202817.53,202077.92,198470.69,195345.47,195542.23,194076.88,193737.38,192325.72,187972.64,192863.94,188382.6,188411.45,183880.12,189786.94,180498.73,186098.42,181033.5,181980.83,181620.84,176172.72,174849.03,173109.69,173193.06,174426.28,172270.98,165082.78,169178.6,164798.16,160782.22,156855.67,159967.89
204431.56,196712.9,207772.12,212707.0,213566.69,218188.7,219098.72,215594.19,212210.3,212005.22,208349.98,203496.69,199862.1,199954.6,194945.36,195689.84,196662.88,191374.28,191993.94,190988.98,189535.12,186953.56,186753.06,185176.23,186807.05,185021.73,183910.06,182418.94,182298.27,180059.28,175759.94,178739.03,170373.72,171079.33,172230.03,168757.53,167301.94,162374.72,168075.36,164924.78,155701.77,162560.25
202023.0,203620.02,205863.14,212464.16,214787.53,218139.56,216216.88,216887.92,210845.28,211941.72,207564.66,206147.38,201057.06,199791.47,195406.16,195995.81,192579.9,192011.83,189640.89,194117.16,185687.12,186534.34,187722.83,186820.44,188913.83,181432.47,180445.98,183121.6,182807.72,183310.4,174866.8,176508.22,175084.58,169421.52,169270.6,169792.5,166909.94,165807.44,166438.25,159711.44,161298.03,158092.12
201964.72,199875.08,204882.97,215726.31,216439.84,220567.89,217221.81,212606.86,214837.4,207303.77,208122.1,205582.3,199327.12,198990.72,195272.31,195510.25,194254.19,191597.56,192622.83,191952.61,189977.67,189311.83,186955.69,187038.33,185978.34,183872.28,183399.11,181596.97,181222.44,182780.31,177118.83,176734.22,174412.06,171924.44,169130.44,170054.89,168908.83,168167.75,164325.47,161487.28,158643.03,160754.53
203601.6,195137.81,204986.75,212684.0,218844.45,215438.12,215799.84,215813.75,214191.33,209497.56,206969.6,204390.16,200323.0,197578.25,194694.25,197130.16,192518.9,189596.25,191932.84,191632.84,187460.88,188014.94,184331.4,188647.36,183657.64,182599.92,186373.38,182729.69,182473.16,176594.5,176883.5,172204.53,175917.42,172004.1,172222.97,171793.77,167145.05,165456.81,162781.0,161549.47,159776.94,161525.8
201353.67,201269.78,205846.97,216475.28,217058.38,219128.22,217368.88,215727.94,213595.78,210459.7,204187.25,205431.45,201570.39,194961.3,197424.94,196622.06,195845.97,193864.81,191224.88,192413.84,192920.23,185341.88,187494.67,186447.48,187762.45,181131.88,182872.5,185131.47,180825.45,182555.34,173061.9,175362.56,171414.7,173571.77,169249.16,168077.1,169189.0,167859.78,161966.28,161379.4,157832.19,156766.78
204649.5,194384.36,207349.55,212473.44,214634.47,216083.6,216382.0,216165.23,212869.75,208662.16,206914.28,201305.84,200896.56,191783.19,199093.66,197345.28,194197.14,191888.31,190523.12,192851.75,190908.25,185899.03,188108.66,188488.97,186335.75,184900.06,185724.97,181453.16,178670.45,184697.97,175717.03,176086.6,177419.17,173106.3,170392.78,169902.53,168503.33,169192.56,166173.88,158557.84,159509.97,158073.77
202919.86,199916.25,206222.62,213466.52,214820.62,214773.81,218273.72,214487.77,212657.08,209637.16,205721.03,202000.11,203570.52,197916.5,200527.31,194158.62,192369.38,193357.95,194654.25,190968.58,190994.38,192226.25,189160.12,186654.53,185266.16,184647.31,182645.75,181296.81,182456.78,179126.66,175810.75,175885.6,171446.83,173579.0,172516.47,169323.75,169371.98,164269.08,167544.9,159558.5,157845.06,159601.19
202795.88,194815.22,207657.67,214872.72,215788.53,218260.89,215097.12,214271.47,214397.97,207874.6,201426.19,203824.31,202722.78,196400.84,196999.62,197493.3,191029.36,194638.28,190969.62,191255.28,190868.77,188162.25,184182.61,186930.5,182678.66,187763.02,185847.88,180516.69,176147.47,181798.94,175534.38,173496.75,175618.1,170385.69,168850.78,172918.34,167893.97,166283.89,165583.27,163683.12,154249.38,158264.72
201807.38,199485.34,205142.72,214329.47,217454.44,217668.81,215515.88,215354.19,212780.08,207276.23,209353.78,202409.48,198418.72,198678.56,198768.78,200030.0,191309.81,191099.78,190330.4,193243.12,192228.06,185992.72,184598.73,188889.44,187549.78,185676.94,184172.83,183435.19,178325.62,178964.72,178553.31,174937.56,173372.08,171387.16,171528.8,170314.4,164768.94,163865.72,160585.03,160263.4,157435.84,160077.44
