Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
178337.75,176246.25,179882.4,175877.1,179246.61,176000.12,182550.05,178602.75,179858.14,183371.33,178137.12,178290.02,179682.62,180638.1,181652.22,184797.44,187283.75,194763.86,198805.75,203814.06
176755.66,174107.97,176225.53,175495.75,174913.53,177153.22,179402.4,180492.3,175354.03,176592.47,184429.31,179117.78,184411.06,185717.69,184582.62,186161.19,189176.1,195064.33,195601.3,202008.36
175676.1,175630.78,177558.81,181793.56,174912.78,176770.75,175514.4,179330.5,179437.08,177914.34,178727.89,181379.78,178657.2,184210.69,182166.64,183738.44,185242.64,194978.45,200167.75,203871.33
178527.16,176522.84,175518.36,178069.25,177848.55,175627.66,182508.06,180119.02,181774.47,176565.62,179560.69,178970.53,184763.56,179890.77,184163.16,187693.4,185466.28,194705.94,199284.89,202494.19
175823.58,172201.77,175862.66,174502.19,182952.1,177245.97,175355.75,181081.66,178797.47,180529.84,178200.89,179334.94,180519.9,177740.38,182262.73,183433.1,189840.66,193787.25,200965.45,204273.33
175604.06,175764.11,179005.44,176725.9,179915.8,178188.72,179099.73,181633.97,176503.28,177517.9,181573.56,178280.94,182445.16,184254.06,184982.72,185900.95,184956.12,196735.9,200241.06,201734.8
178114.81,175490.53,182301.44,175416.23,180008.28,180457.62,179770.38,181728.5,178306.72,183305.47,179102.34,183597.61,182285.4,183130.34,186167.1,185898.25,188661.03,197366.98,197251.22,200299.33
173144.42,175796.44,175544.56,174561.86,177239.4,179927.5,178204.34,180055.88,178869.6,180001.75,179304.66,179158.28,181239.12,183240.83,180221.94,182268.25,186224.97,193131.16,200267.81,203898.95
174685.4,174414.25,177699.62,175908.55,174217.97,178989.36,180506.75,178849.34,182019.62,179508.84,182445.83,179878.98,179044.19,183197.72,185590.08,183593.03,184012.8,193670.95,203894.0,202826.62
177658.53,177419.0,175213.22,179305.8,176705.47,178146.97,179160.66,177515.8,178597.25,180423.75,184551.62,180489.06,184070.34,181698.9,180423.86,184225.06,185147.38,195664.39,199945.5,203345.36
174279.44,175048.1,176242.66,177270.97,176677.0,181485.16,178393.84,177905.83,178567.08,176735.12,183072.86,182382.44,179440.56,182939.98,186925.31,182690.81,189269.03,191844.22,197995.25,205201.4
175463.94,177321.33,175129.3,176138.62,176671.12,177279.25,179918.81,181188.22,179229.22,178173.53,181664.62,181158.95,181938.1,180609.22,185383.11,184789.31,187354.83,194119.03,195836.06,205677.52
174283.62,178119.84,177559.19,174537.03,174212.88,180560.4,176228.81,182928.12,183858.06,182409.23,179525.92,181586.44,179015.9,186655.12,185476.16,185099.95,185597.36,194731.84,202175.19,203623.12
175806.4,177469.52,176209.62,175609.6,176787.5,181493.5,180965.4,179275.6,178661.97,180808.19,177348.12,180720.22,180930.81,179383.75,183731.61,185046.81,186871.95,195093.08,199126.56,207663.25
178756.1,176153.33,172896.78,176231.47,179809.25,174913.44,177173.6,177415.0,180970.62,181132.5,179740.25,181807.72,180901.9,183069.69,181013.6,185606.83,182132.67,196323.94,203152.12,198069.19
178660.81,175154.81,177326.25,178129.33,174641.69,174698.97,180845.0,178498.56,181252.0,183049.4,181047.44,181238.53,178169.94,184810.12,183381.25,186837.31,187967.94,193375.4,198472.97,199985.28
174478.97,179227.05,178691.44,174508.06,176051.03,174817.06,173036.66,179895.62,180707.45,180999.28,182456.69,182093.6,181119.95,182061.34,182765.81,182529.66,185387.88,197623.78,200557.11,201595.16
174184.58,174695.7,174696.89,173341.69,179042.05,179940.53,176449.83,177510.12,179782.6,177659.97,179782.84,179434.28,183400.03,182637.61,185449.52,184723.83,187931.58,197475.03,203559.25,203591.28
177872.4,174864.84,177203.66,178336.1,179995.38,177048.31,174453.64,179356.66,182070.16,178082.7,180513.8,176499.77,185921.73,182835.94,185891.81,189310.56,186304.86,192285.69,199826.14,201594.36
172538.38,175524.12,178806.05,176545.34,177645.06,173613.94,178862.03,174854.31,177119.28,181774.56,181651.69,177893.3,181677.84,182679.2,179693.1,183477.75,188079.47,195496.86,201552.19,201943.08
172820.61,176510.92,174850.98,176245.47,176416.84,177534.72,178772.3,178164.81,176935.88,177064.31,179719.12,179763.95,181772.0,185122.14,182926.52,184340.22,187973.16,197477.25,201786.48,204616.22
174746.19,177978.22,175553.64,178161.72,179542.28,176267.73,177583.6,179428.12,181866.42,177688.9,180897.62,180012.94,180561.06,181797.83,183974.25,185122.25,186580.97,197987.38,200552.12,201723.86
176784.78,175740.06,177776.8,174947.28,178358.5,179180.42,176152.19,178734.84,181270.06,181369.4,182346.38,183399.25,182901.81,183083.38,182933.12,186928.14,185856.86,193654.58,199608.9,203621.25
177579.1,179725.06,180945.94,178401.61,179444.47,181191.5,178766.28,176531.88,179662.7,178989.02,178602.97,181499.38,180060.0,186061.9,184911.5,189521.06,185035.25,195861.7,200769.94,200791.3
178549.56,174509.6,178439.08,178631.94,176464.6,179067.48,176303.97,181930.02,182190.62,182228.67,179097.6,181067.58,182427.12,184802.78,179725.34,183194.16,192751.03,196503.81,199359.53,203671.81
176438.12,174226.81,178311.31,175178.34,173283.38,179247.62,177925.4,181961.6,176702.97,178527.61,180810.94,178968.19,180611.72,182595.25,182047.52,185121.17,184986.69,195345.22,195988.23,204159.1
177028.6,173512.53,174032.94,179447.88,176648.25,177293.97,180284.84,179587.97,179450.02,181232.28,173659.38,178569.1,181685.95,181445.69,185052.5,184890.47,188534.16,194084.5,200393.6,201463.0
175429.81,178856.06,176591.81,176848.53,180172.36,175570.56,176234.58,181945.17,181642.33,181620.61,179693.06,180680.6,184068.83,186167.27,183140.53,186959.67,187734.4,194665.23,199653.72,203376.06
176906.3,175772.86,179421.1,175015.38,173573.28,178318.25,177340.7,179154.16,179376.56,180956.88,185131.11,180138.88,179758.31,182583.03,182304.5,185174.6,185058.42,193600.8,200389.44,202358.62
175236.4,175201.62,176600.58,180544.45,174668.84,178930.25,178424.69,179042.84,179657.22,184074.66,182186.94,182065.2,181372.0,184096.17,182570.19,187136.9,191850.56,196486.11,201654.25,204554.98
173110.25,174787.81,175368.11,175628.4,176293.25,178790.25,178612.03,175353.02,175885.81,184688.5,184181.5,182512.95,184979.62,182798.58,185852.44,183402.47,187048.11,192664.16,200309.47,201509.83
181880.69,177853.75,172966.33,176258.55,176235.03,177495.45,175440.66,177954.1,179993.64,179653.4,181328.6,184221.4,182055.38,179303.44,185061.38,185494.69,185741.02,192706.6,198842.53,204491.48
175759.92,175531.16,177182.16,173908.83,174528.88,179802.44,178740.58,177367.11,178793.39,180185.58,181235.56,182201.17,182121.06,182570.86,183935.03,180229.33,185258.5,196585.19,198161.34,205378.44
175996.27,178659.19,179909.78,175492.62,175699.94,177453.48,178390.81,177624.12,181550.78,181658.16,178754.92,182141.06,185215.66,181617.61,182687.0,185745.16,186696.22,193715.14,200328.69,203732.31
176001.06,180246.0,179036.9,175180.53,176170.67,183200.66,176130.38,177065.28,178521.1,179232.34,179412.39,179647.88,181245.22,180811.66,183391.28,180082.94,187786.62,193621.12,200118.1,204126.75
175172.48,176432.19,176782.98,174563.56,179487.9,179716.28,178936.1,178877.12,175256.69,180458.06,178852.53,183429.34,181356.94,182256.22,185568.47,182820.23,181695.44,192146.47,199273.47,202366.52
177575.56,176181.66,177236.44,178260.12,177911.64,174549.12,177397.08,178504.34,178973.06,176775.53,179653.78,178525.69,182684.31,182672.78,184176.0,188381.72,184151.03,192277.12,202625.78,204316.5
175031.56,174003.5,181783.44,176625.78,178579.58,177136.66,174577.47,175443.6,176942.5,180376.66,180648.97,180605.52,184033.47,184148.12,183563.78,182517.28,188538.94,195512.3,201547.02,202077.81
174947.19,179425.75,176978.97,178745.44,178172.84,180886.84,180061.44,181272.03,182464.6,177948.06,173301.72,181705.94,183909.75,181837.78,183200.67,182909.44,188337.11,196840.27,197626.5,203429.33
172518.53,175989.5,175903.22,176163.19,178309.55,179727.62,176792.28,177973.84,178779.8,178425.88,177319.17,180866.34,182039.97,180899.44,187392.1,182877.03,185226.69,195561.06,200004.19,204759.06
177879.44,175128.69,177566.38,176224.97,175593.72,179860.47,176411.66,179095.1,175921.69,177233.22,181685.78,181151.72,179720.25,185404.64,184295.22,184399.25,185557.22,195858.84,200340.94,207076.1
176108.89,176278.0,179088.05,176181.3,173350.17,175871.12,178499.16,177567.83,181767.06,177631.03,177273.66,178684.9,181115.78,182856.61,182930.44,187002.52,186965.92,196586.1,198607.47,206679.78
175604.17,175622.9,172965.5,176416.4,177428.62,177596.06,174987.56,176434.81,181564.06,179521.05,180722.64,180528.03,181877.11,179792.44,183451.27,184473.62,188042.5,195996.31,197678.89,205038.53
175470.81,177560.47,176991.88,173600.1,174652.9,181155.44,178776.06,181792.92,183397.19,179509.72,181776.84,179798.27,183594.5,181961.66,184971.34,184983.66,187735.48,193495.97,198184.66,203469.69
174610.9,173222.5,179264.53,178100.03,179751.52,178213.75,179741.55,177571.31,178433.73,181098.1,180661.98,183537.72,181374.19,186166.5,183784.03,183575.95,184423.75,192641.31,202900.42,202568.38
176018.02,179064.03,176464.84,179631.23,178703.78,179910.03,175315.66,177155.44,182368.34,177086.89,181758.5,179946.62,183443.53,183844.22,182697.6,186815.98,189258.55,195237.11,200394.53,203007.62
175649.9,179926.05,176898.72,173722.22,177212.92,176918.53,179034.62,177377.5,177587.62,178884.62,179720.34,181519.53,182370.72,182564.88,185266.5,187738.2,187882.14,193981.4,201656.78,200734.0
176108.8,175696.94,179653.84,176422.56,179649.89,179479.25,180384.83,178991.66,174388.05,177542.2,180555.84,182283.25,182677.9,181949.44,181340.56,183865.75,188335.56,191179.89,202777.72,203869.94
177288.39,173669.61,177681.72,175682.31,176019.6,179572.34,175581.1,178426.0,175596.25,179916.66,182901.92,181124.16,179841.6,188725.12,183592.25,190463.23,186743.06,196491.88,201361.22,204896.62
175357.48,177795.69,179815.6,179794.38,175481.6,172790.16,176093.14,175142.62,177303.62,182610.0,178949.5,184415.86,180470.06,184684.72,184385.53,185207.16,188439.81,196557.31,200205.75,201447.42
171856.42,178777.22,180226.56,174670.03,179463.69,178828.97,183259.66,177108.03,178987.31,182170.0,183688.72,182704.38,179967.56,181779.95,183226.3,187451.78,186533.45,196588.53,199253.66,207391.62
