Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
181409.03,178755.88,181048.34,184042.1,182691.25,182767.16,184989.56,184796.34,185583.66,185045.4,186490.81,185304.7,184735.27,188304.47,190660.28,191441.06,194593.34,194549.19,205593.47,205038.53
184395.47,180136.81,182992.22,184977.78,184326.0,183432.11,189110.1,185547.19,184701.6,185239.1,185091.64,183933.38,189362.69,188933.89,189236.67,190224.47,190522.7,198020.9,201231.75,202366.52
183188.84,184239.25,183804.81,183102.16,184041.16,181951.31,184985.39,186195.6,185242.47,185653.86,187128.56,183876.05,185742.83,189287.62,185899.44,192727.66,193985.66,193705.22,203602.58,204316.5
184049.97,183629.22,186542.97,183818.73,183363.22,181745.98,183442.9,183797.53,183355.31,187250.25,187898.5,184306.69,187290.33,189680.52,187257.98,192094.11,190865.06,194762.81,199692.88,202077.81
182889.36,182354.67,178136.72,182365.28,186215.36,185820.1,181679.25,185085.66,184813.06,184980.31,183953.64,185115.19,187776.12,186376.12,189208.6,188323.16,185814.94,194138.75,200192.52,203429.33
180623.47,186253.44,181844.31,182989.0,183497.19,185706.88,181817.67,183323.86,186778.98,187062.36,183076.16,185836.4,185241.22,192941.48,188913.1,196000.28,189130.9,203000.98,201065.75,204759.06
182158.4,182218.94,185130.86,182367.8,183092.69,184962.78,185246.5,183773.06,182631.03,184285.05,185012.56,186462.0,190302.6,187044.44,187602.69,188535.81,192086.5,194093.36,198707.12,207076.1
183101.64,183350.58,183639.95,186141.66,185364.69,189062.89,185960.88,185137.45,188374.47,185240.17,188358.4,187589.9,185060.5,191871.2,189926.89,189281.72,189464.12,195997.72,202593.38,203469.69
182955.97,184039.69,179776.52,187581.38,183992.45,181605.72,184576.06,189095.27,187155.47,187569.72,185620.39,187090.56,183418.05,183179.25,188293.38,190915.44,187546.4,195710.73,202788.9,202568.38
183944.22,180255.12,183722.06,183042.17,183636.03,182013.75,181675.44,183437.42,185385.34,187496.25,187078.5,190133.66,189263.94,188864.03,189858.67,192472.06,191481.16,198985.22,202561.44,203007.62
182096.38,181793.28,185720.94,187513.5,176613.34,182206.5,186804.61,185100.31,185020.75,184198.4,183113.69,187970.94,184212.19,189289.73,188996.27,190829.17,188861.53,197688.58,200094.58,200734.0
182793.75,183817.81,180077.88,183938.44,185313.22,181812.69,185487.31,185744.6,185682.0,183658.77,188397.81,184025.11,191262.22,187288.83,189104.95,194135.53,191460.38,198431.62,200184.72,203869.94
183012.98,180869.44,182143.48,184588.44,183243.94,179927.44,182943.31,185695.72,187549.5,185576.67,189468.8,185293.66,186484.88,186970.88,190113.4,189747.81,189773.02,196440.61,199339.88,204896.62
184938.25,182143.4,182187.75,181871.67,185651.94,180952.8,184233.1,187223.12,184683.77,184874.16,184685.36,185987.12,191730.08,192268.86,188423.66,187251.31,191415.84,196410.81,202331.16,201447.42
180660.06,181695.47,185809.03,184046.22,184961.19,184383.55,184950.44,183977.0,184473.22,187796.03,186682.53,185330.66,188468.64,187832.39,188975.5,189380.94,189675.69,197058.5,199316.94,207391.62
182011.34,181491.92,183937.17,179416.28,184176.45,183878.28,184800.84,188312.27,184894.16,184964.55,187336.1,186664.62,184756.75,183705.81,188433.72,188351.9,189032.06,195442.34,202235.84,203120.27
182145.3,179811.28,182753.2,184579.34,182668.34,186161.86,185293.1,186193.53,189798.77,183555.6,186055.7,186043.67,186651.84,192288.66,188463.22,186916.38,191539.38,192462.66,200082.28,204728.83
182803.98,180856.38,183160.28,183087.56,183836.6,185887.31,182628.03,185215.88,189476.48,188431.69,187285.25,184595.4,187247.03,188500.45,188652.34,191509.25,194578.16,198665.1,200983.84,203756.42
181027.94,186502.0,186677.4,183398.53,184228.5,189232.67,187222.44,187478.5,184909.44,186649.1,187514.86,187571.1,186765.69,192089.66,189794.94,189077.0,188855.53,193021.72,203851.17,205312.3
184766.22,183199.33,182687.7,184587.66,186909.6,182642.56,184824.25,185950.28,186558.81,184898.22,185889.83,185486.4,183909.81,186085.25,192671.53,190981.78,195342.94,193185.02,202322.97,202768.19
184580.6,182251.08,182176.05,179981.5,184158.19,184935.12,182706.38,185412.44,180483.38,183017.5,184617.6,185214.62,187499.58,187239.56,190640.5,189716.05,194093.62,197315.6,200312.5,204310.44
